Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-March-2021,9.10,9.10,8.63,8.79,8.785379874564270522,147167,168,1292918.00,117019,79.51,0.47,-0.31
26-March-2021,9.10,9.10,8.65,8.71,8.811621743261489223,119982,379,1057236.00,95938,79.96,0.45,-0.39
25-March-2021,9.05,9.05,8.62,8.76,8.796179155168753980,70665,207,621582.00,50245,71.10,0.43,-0.29
24-March-2021,9.53,9.53,8.83,9.04,9.068832988775269518,72073,230,653618.00,57935,80.38,0.70,-0.49
23-March-2021,9.14,9.41,9.09,9.29,9.144275393115172120,176475,168,1613736.00,153867,87.19,0.32,0.15
22-March-2021,9.05,9.31,8.99,9.04,9.136131610855799889,66803,168,610321.00,56073,83.94,0.32,-0.01
19-March-2021,9.00,9.21,8.61,9.08,9.000754155296452493,100775,274,907051.00,72675,72.12,0.60,0.08
18-March-2021,9.50,9.50,8.80,9.02,8.974228692056177455,300334,640,2695266.00,181655,60.48,0.70,-0.48
17-March-2021,9.49,9.56,9.26,9.26,9.336860849656575934,137585,369,1284612.00,82030,59.62,0.30,-0.23
16-March-2021,10.00,10.74,9.74,9.74,10.147728903513961937,397187,1039,4030546.00,226012,56.90,1.00,-0.26
15-March-2021,10.25,10.25,10.25,10.25,10.250000000000000000,16296,110,167034.00,16294,99.99,0.00,0.00
12-March-2021,10.78,10.78,10.78,10.78,10.779976606708184490,31633,115,341003.00,31633,100.00,0.00,0.00
10-March-2021,12.30,12.30,11.34,11.34,11.862443761739054469,274724,403,3258898.00,221580,80.66,0.96,-0.96
9-March-2021,11.93,11.93,11.93,11.93,11.929998546147445395,323279,486,3856718.00,260951,80.72,0.00,0.00
8-March-2021,11.37,11.37,11.25,11.37,11.357740795144549724,619510,711,7036234.00,405635,65.48,0.12,0.00
5-March-2021,10.88,10.88,10.40,10.83,10.861823004151622883,975763,1015,10598565.00,545479,55.90,0.48,-0.05
4-March-2021,9.85,10.37,9.69,10.37,10.271735316819872289,627044,961,6440830.00,576622,91.96,0.68,0.52
3-March-2021,9.59,9.88,9.37,9.88,9.658154105090445627,614347,1237,5933458.00,447903,72.91,0.51,0.29
2-March-2021,9.36,9.65,9.36,9.41,9.453966599627075309,122813,610,1161070.00,66322,54.00,0.29,0.05
1-March-2021,9.75,9.75,9.40,9.48,9.479378218393570431,166232,642,1575776.00,119667,71.99,0.35,-0.27
